X,X,8.2.3.,8.2.5.
X,X,8.2.4.,8.2.6.
8.3.1.,8.3.1.,8.3.1.,X
8.3.2.,8.3.2.,8.3.2.,8.3.1.
X,X,8.3.3.,8.3.2.
9.1.1.,9.1.1.,9.1.1.,9.1.1.
X,X,X,9.1.2.
9.1.2.,9.1.2.,9.1.2.,9.1.3.
9.1.3.,9.1.3.,X,X
9.2.1.,9.2.1.,9.2.1.,9.2.1.
9.2.2.,9.2.2.,X.,X
9.2.3.,9.2.3.,9.2.2.,9.2.2.
9.2.4.,9.2.4.,9.2.3.,9.2.3.
9.3.1.,9.3.1.,9.3.1.,X
9.3.2.,9.3.2.,9.3.2.,X
10.1.1.,10.1.1.,10.1.1.,X
10.1.2.,10.1.2.,10.1.2.,X
10.1.3.,10.1.3.,10.1.3.,X
10.1.4.,10.1.4.,10.1.4.,X
10.1.5.,10.1.5.,10.1.5.,X
10.1.6.,10.1.6.,X,X
10.1.7.,10.1.7.,10.1.6.,X
10.1.8.,10.1.8.,10.1.7.,X
10.2.1.,10.2.1.,10.2.1.,10.1.1.
10.2.2.,10.2.2.,10.2.2.,10.1.2.
10.2.3.,10.2.3.,10.2.3.,10.1.3.
10.2.4.,10.2.4.,10.2.4.,10.1.4.
10.2.5.,10.2.5.,10.2.5.,10.1.5.
10.3.1.,10.3.1.,10.3.1.,10.2.1.
10.3.2.,10.3.2.,X,X
10.3.3.,10.3.3.,10.3.2.,10.2.2.
